Date,Keywords,Sentiment_Score
2025-08-19,True peace isnt outside I discovered that in 10 days of silence,0.57
2025-03-18,Do not let this deter you from a course if you are interested You can do it my first course had 135 students and by the end there were 134 these are ordinary people You can ask the teachers questions You will not regret this kind of experience IT changed my life in a way that I could never have possibly imagined,0.57
2025-03-06,Yes i did it for 9 days and the rules are not that difficult What presents hurdles is your own mind,0.52
2025-08-08,Not allowed to lie because onece a day you get to talk with the guru and he asks questions related to meditation and there you are not allowed to lie,0.5
2025-08-14,But this is not the vipassana meditation It just disciplines to help do meditation Actually none of these are necessary to do vipassana meditation,0.5
2025-02-28,But was it hard and did it benefit you Asking for a friend,0.38
2025-10-23,If you really understood what Vipassana is all about you would respect it in a more humble way Calling the rules Insane in the video header clearly demonstrates that you either have not participated in a vipassana course or you did not understand the meaning and benefits Better to not post anything that speaking in such way about it,0.51
2026-01-16,There are very specific reason for all of these rules I suggest you look them up and learn the reasoning because it will all make sense,0.5
2025-03-04,The Full Breath by James Francis is a great book for all seekers It will show you the way in simple terms You are your own guru All the time you follow you will never find the way To travel the path you must walk alone,0.68
2025-08-11,Why are do you minimise such a beautiful experience retreat to a short reel barely explaining sad,0.53
2025-04-25,Everything I Ate During My 10 Day Vipassana,0.5
2025-07-21,Spending 10 days in complete silence at Vipassana in Leh was an experience like no otherfreezing cold endless meditation,0.42
2025-10-03,All the footage was shot on the last day when my phone was returned and not during the course of,0.5
2026-01-14,The Buddha never thought vipassana as its thought now In fact its never mentioned as a meditation technique in the suttas,0.5
2025-09-13,One question how were you able to record dont they take your phone,0.7
2026-02-18,He recorded on last day thats y he can speak and record this video,0.5
2026-01-28,There is a precept in the Panchsheel do not get drunk So why is tea served there Please solve the question,0.3
2026-01-05,Its shocking that they allowed phones inside the campus during course,0.1
2025-11-06,But if i m not wrong mobile isnt allowed so how did you shoot,0.6
2025-06-03,How did you get the phone there is no phone allowed today I was in pushkar for vipasana meditation but cancelled it yesterday,0.5
2025-06-25,Bro if i am not wrong then phones or any other electic instruments are not allowed in this course,0.53
2025-04-07,I have participated in Vipassana in last year As per my knowledge they do not allow any belongings including mobile How did you capture all the activities inside the dhamma hall and even in Pagoda,0.5
2025-06-19,Bro that is also issue with me when i do intermittent fast i have this bloat issue but if i do eat like 3 time a day i dont feel bloat or like that,0.58
2025-11-05,I have attended couple of times they only returned my phone on day 11 Is there different rule for different centres,0.5
2025-05-02,What is the recipe of that magical kadha is it okay to have it at night only while having fast during Shravana,0.62
2025-09-20,I dont think so you are allowed to have a cell phone with you and its supposed to be silent meditation bro,0.5
2026-01-26,I have applied for a 10 day course in Dhamma org Which place is this,0.5
2025-03-02,a person who does vipassana stops loving other people like their friends girlfriend or boyfriend,0.6
2025-02-25,gwrm for an autumn hike in the Canadian Rockies ootd grwm fall autumn hike,0.5
2025-07-26,My first autumn hike of 2023 and if this week is any indication we are in for a very early and short season Pack your layers and,0.55
2025-07-26,What is the brand for that black shirt you wore at the beginning of video,0.43
2025-07-16,Not sure where you are hiking but maybe if you are standing still this would be nice most of that would come off of you are actually moving in our Rockies Looks nice though Start cold move fast,0.56
2026-02-11,Can u call u in the morning when you are awesome and thanks,0.74
2025-03-01,What jacket is that Ive been on the hunt for a new puffy,0.55
2025-10-21,Your reels are always a lot of fun I wish I really was GRW you,0.6
2025-06-10,Breakfast At Vipassana Meditation Centre Kanpurshorts,0.5
2025-05-22,Breakfast At Vipassana Meditation Centre Kanpurshorts Follow me On Instagram,0.5
2025-02-08,I heard mobile phone are not allowed not even books also There is no connection to our world,0.5
2025-08-11,10 din bolana nhi hota to ye to sb bol rhe hai na,0.5
2025-04-21,Im CA final student I just completed 10 days in Kanpur Centre,0.5
2025-07-01,Observe that they are serving kheer rice milk porridge so this must be the 4th day of the course The day buddha achieved enlightenment he was fed kheer rice porridge by Sujata That was the day he realized giving up on hunger etc wont lead you to enlightenment After eating the kheer he had energy and that night he was enlightened On 4th day goenkaji teaches us vipassana and the kheer served is a tribute to sujata ji Sadhu sadhu sadhu,0.5
2025-04-03,Newspaper lagana bad practice Someone tell them to stop using news paper,0.22
2025-05-15,I also did Vipassana 10 days Course it was the best experience of my life this teach you how to grow in life in right way Dhamma,0.76
2025-08-03,I was here last year it was really an amazing retreat They served one of the best meals I have ever had in my life,0.71
2025-06-29,Witchcraft Retreat witches witchtok castingcircles witchcraft circle coven,0.5
2026-01-08,JESS CHRIST IS KING Witchcraft only works because of demons that hate u and would kill u and ur entire family in a second and even do worse things to them HELL IS REAL And witches get tortured in hell by the same demons ur using during witchcraft Accept Jesus before its to late,0.43
2025-08-16,commenting on witchy videos until they get on my fyp 12100,0.5
2025-02-25,this is some bohemian grove stuff I rebuke this in the name of Jesus,0.5
2026-02-12,I dont believe in witchcraft and the power if there power I want them to turn me into a gorgeous woman for one week next week do it if you have power,0.64
2025-05-11,This is beautiful but Id love to see more male witch content,0.68
2025-03-30,So i just got introduced to this and would like to know how to remove evil people from my life I know its my neighbors so i need to make them move i work too hard i deserve a good life i dont want anyone running it,0.42
2025-09-09,I love this Especially where yall cleanse each otherI love witchcraft Blessed be,0.63
2025-09-10,I just want to be free Ive NEVER felt free Probably because my trust was destroyed so early in life Having my body be violently violated being called a liar Witnessing what was done to my mother what happened to my brothers I cant break the sadness the fear the anger Ive worked to try to forgive Why did this make me emotional Why do I feel so alone Even when Im surrounded by people Why does EVERYTHING feel so fake Why do people feel faker than ever Colder than ever Am I crazy or do others feel this Why does it feel like hatred is amplified more than ever in history Even world war 2 I just wantneed answers Feeling stuck in a really fkd up mental prison and no matrer how hard I try to escape something always drags me back My life has shown me that there is some truth to the spiritual things people speak of Maybe I just need to find my place It feels like I should have found my place a real long time ago Since I was a very little girl I was told by both people I knew and didnt that I had an old soul Never quite understood what they meant maybe someone can explain Sorry for the over sharing I wonder are others feeling similar things A million things run through the mind,0.46
2025-10-03,This looks just amazing I have never seen that smudging technique before Going to try it,0.74
2025-03-25,Go to christ yall must be bored he can help with that,0.3
2025-03-15,The murikan witch fake morons believe every BS Esoterics are just weak and try everything Its like watching someone who tries to get a screw into wood with a wrench Pathetic losers,0.3
2025-06-15,I want a witchy room but like I cant find any videos for inspo,0.5
2025-07-31,My christian family said witch craft is bad luck But I personally think its a part of the wonders of the world that people must find My family doesnt want to mess with it especially my mother since when she was younger her elder sister found a book and read it the house shook wind flying into the house messing up everything light she was forced to never say a word about it to their parents So now theres something always following us but honestly I think Ive got chill with it anyways so that just honestly made me wanna discover more,0.53
2025-11-11,I want to attend I believe in witchcraft my parents dont know I somehow feel that they were some craft in my family generations I also have a witch birthmark I dont know how to practice but I will love that someone thought me I plan on making my own broom when I grow up right now I feel close to nature my element is air I know the ingredients to make my own besom or I can just use my personal magic to make my broom or infusion I am just ten,0.64
2025-05-02,Heavenly Decree Of Deliverance of Divine Jusice By the Auhority of he Mos High he Eernal KINGOF KINGS HE LD OF LRDS he Living WORD OF GD YEHSHUA HAMASHIACH Is LRD KINGhe nlyGD Let ALL lies be silenced For the ruh of Chris shines FrEver Ligh is Eernal Now that the snakes heads has been cut off Next is their bodies Allah yakhudhak Nega bk Alh All these shit bag stores shops I shut down right NOw IN THE MIGHTY NAME OF JESUS CHRIS For treason O HEAVEN for smiing MY FAHER GODS OUR DIVINE BLOODLINE for too long The owners of these shit holes their families shall suffer a world of LACK for ETERNITY Anyone caught by HEAVEN supporting purchasing or contacting these demonic shit hole businesses them their familys shall suffer the same FATE LACK for all EERNIY so I HAVE HE SWORD OF SPIRI IN MY MOUH SO I is done MERRY CHRISMAS sickness call your darkness now Who else wants to disturb MY HOLY BEAUTY SLEEP to smite OUR DIVINE BLOODLINE mock MY FAHER GOD Stick Stone Bone NYC Namaste Bookshop NYC Botanica San Lazaro NYC Sacred Botanica BK Brooklyn Rubys House of Crystals Brooklyn Crystal Visions Spiritual Center Bronx The Oracle Shop Bronx Enchantments in New York NY USA Phoenix and Dragon Bookstore in Atlanta GA USA Malliway Brothers in Chicago IL USA RitualCravt in Denver CO USA The Witchery in Galveston TX USA Rite of Ritual in Calgary Alberta Canada Mind Body Energy Psychic shop Mystic Spirit Metaphysical Shoppe Curious Goods New Age Shop Agartha shop in ClujNapoca Romania El Rei de la Mgia in Barcelona Spain Akodessewa Fetish Market in Lom Togo Wycksted in New Zealand Tragic Beautiful in Australia Conjured Cardea Call ME a Liar do itCall ME a Liar do it dark benders sinners I dare anyone of you turds of sickness vessels of rot to call MY HEAVENLY DECREES FAKE or ME a Liar See you soon satanas IM bringing diddy smb saudi antichrist turd cupcake you dont want to control your turds watch me flush all of them IM coming to take MY HOLY crap in your shit hole dungeon I forewarned you just like the rest of these turds but for some reason MY HEAVENLY DECREES went ignored Ignore them Now I TOLD YOU TOUCH NOT MY ANOINTED ONES OR MY PROPHETS CH0SEN ONES RISE From EVERY corner ofTHE WORLD WE HAVE THE HOLY JUICE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE CH0SEN ONES RISECH0SEN ONES RISE IN THE NAME OF JESUS CHRIST I rebuke the spirits of malice fear rejection lust pride admiration delay doubt jealousy deceit envy all darkness tools of deception confusion chaos control discouragement sarcasm shame presumption pride greed lust envy gluttony wrath sloth bitterness selfishness hypocrisy across all the physical earthly subtle astralheavenly and causal divineideational realms The physical spiritual energetic realms all kingdoms all dimensions all timelines Only GOD can save yous JESUS still LOVES ALL OF YOU you must RepentSurrender fully say GOD here I am I come to you with trembling hands a sinful hameful heart use ME for YOUR good GOD BLESS HUMANITYS SOULS JESUS LOVES YOU so do I I forgive YOU ALL who have scorned THE DIVINE SEEDS while FATHER GOD dislikes sin HE is always ready to forgive ALL who RepentSurrender with sincerity in their hearts Allah yakhudhak Nega bk Alh GOD BLESS HUMANITY THE CH0SEN CHRISTIANITY THE RIGHTEOUS The Innocent for all Eternity across all realms timelines energetic zones kingdoms I warned you demonic turds but you spat mocked MY DECREES Now mock them LIGHT is ETERNAL darkness is toilet paper which I use daily I rebuke all false senses of control over HUMANITYacross all the physical earthly subtle astralheavenly causal divineideational realms The physical spiritual energetic realms all kingdoms all dimensions all timelines YEHSHUAHAMASHIACHIs LORD KINGhe OnlyGD Le all lies be silencedfor the ruh of Chris shines FrEver is Eernal Melech Malechei Hamlachim,0.51
2025-09-22,Deuteronomy 181012There shall not be found among you anyone who burns his son or his daughter as an offering anyone who practices divination or tells fortunes or interprets omens or a sorcerer or a charmer or a medium or a necromancer For whoever does these things is an abomination to the LORD,0.5
2025-03-21,Did use the song Come Little Children from the movie Hocus Pocus,0.43
2025-08-04,I just came across you on tt live last night I would love to attend this,0.58
2025-06-27,Legging Mditation Yoga,0.5
2026-02-13,Dcouvrez notre gamme de legging femme pour le Yoga Vous trouverez des leggings 34 taille haute avec laets aux mollets,0.5
2025-05-09,8 ERREURS viter quand on prend un avion,0.5
2025-07-01,Je vous partage mes expriences force de lire vos commentaires il me paraissait interessant de revenir sur ce qui me semble,0.5
2025-05-02,Je ne suis pas sre de pouvoir choisir ma place en voyageant avec mon chat,0.5
2025-06-09,Au prix o les bouteilles deau sont vendues la rponse coule de source Bnfices bien sr,0.5
2026-01-12,Bonjour une question sil vous plat merci Cest mon premier voyage avec bebe Et ce un voyage de 14h avec ethiopian airlines Jai 2 valise chaque valise 23 kilos qui doit aller en soute Moi 2 mon mari 2 et notre fils 1 valise Si je fais le enregistrement en ligne je fais comme avec toutes ses valise qui doit aller en soute en plus quelques comme moi qui voyage tout le 15 ans,0.5
2025-12-28,Bonjour merci pour tout vos conseils Jaurais un question estce que les sacs banane sont considrs comme des bagages mains,0.5
2025-06-04,Pour les vols avec escale pour moi une bonne dure descale cest 3 4 heures Au del lattente est interminable et en dessous a peut chaud surtout si le premier vol a du retard Et quand jai des vols avec escales je mets toujours quelques affaires de rechange dans mon sac dos pour pouvoir tenir un peu en attendant de rcuprer mes bagages si ceuxci ne sont pas sur le tapis bagages une fois arrive destination,0.36
2025-11-18,Petit lifehack concernant les bagages que je fais depuis quelques annes maintenant jutilise un tote bag en plus de mon bagage main jessaye de le cacher au moment de la scurit et avant dembarquer jamais eu de problme pour linstant,0.57
2025-03-22,Jenvisage un vol china southern airlines avec une escale de 2h Canton Baiyun pour Tokyo cest trop juste alors,0.5
2025-05-14,Tous Non nous faisons pas tous les mmes erreur et heureusement,0.5
2026-01-30,Mon filsde 7 ans m a ajout un pistolet en plastique dans mon sac cabine l aroport j ai juste eu le temps de le glisser dans ma valise Que serait il passer sije m etais pas aperue,0.5
2025-12-28,Pour les bouteilles deau emportez des bouteilles ou des gourdes vides Une fois la scurit passe vous pourrez la remplir avec les fontaines eau disposes dans diffrents point de laroport,0.5
2025-06-16,Un conseil pour les bagages en soute Si vous voyager a plusieurs ne pas mettre les affaires d une mme personne par valise En cas d garement il restera des vtements pour chaque personne dans les bagages qui seront arrivs en plus de qq affaires en cabine,0.5
2025-12-26,Jai un pc portable et une machine pour lapne du sommeil Est ce bien si on as le droit a un bagage cabine,0.5
2025-07-16,Mon dernier vol qui remonte plusieurs annes jai bien pens ne pas amener de liquides par contre je ne savais pas du tout que les poudres de maquillage notamment allaient me poser problme aux contrles,0.5
2026-02-23,Si on a une escale faut aussi senregistrer laroport descale,0.5
2025-06-05,Trs bon conseil le kit de survie Si je peux rajouter un conseil Quand vous pouvez viter les aroports franais les grves pour ne citer que le plus embtant,0.5
2025-04-15,Un conseil qui en vaut un autre munissez vous de boules Quis car trop de bruit dans lavion,0.5
2026-01-30,Merci beaucoup Stphane Jallais faire tout le contraire de tes conseils dj rien quavec leau moi qui boit beaucoup tu mvites une perte de temps la scurit Le nombre de bagages car effectivement jallais mencombrer de poids et financirement Jai beaucoup aim la partie o tu expliques quon ne va pas faire un dfil de mode et me connaissant javais lintention dtre pimpante Par contre mon kit de survie me reprsente car cest en cas de survie donc l je ne peux pas cest ma survie Merci beaucoup pour tes conseils finalement simple et logique mais trs prcieux Bon voyage vous autres,0.5
2025-06-21,Je pars Soul le mois prochain perso je prfre emmener 10 tshirts que de faire des machines laver sur place Avec un valise en soute de 23kg cest largement faisable et il reste plein de place et plein de kg disponibles pour ramener des souvenirs et cadeaux,0.5
2025-04-28,Oui tout juste bon pour moi je n ai pas ces problmes je voyage uniquement en business tellement plus facile Certe plus cher mais no stress,0.5
2025-06-06,La premire erreur est de se rendre au port plutt qu laroport pour prendre son vol,0.5
2025-03-23,Dommage il parle des bouteilles deau dont la perte est insignifiante alors que le pb des bouteilles de parfum est bcp plus problmatique,0.5
2025-04-26,Au niveau vestimentaire il faut favoriser le coton et si vous avez une veste ou blouson de cuir cest bien aussi viter le nylon par exemple cause du rapport au feu en cas de ppins Ensuite si vous partez au soleil ne vous mettez pas en tenue de vacance ex bermuda petite chemise manche courte et sandales Lavion peut survoler des zones montagneuses o il fait trs froid et en cas de ppin vous serez bien content davoir des vtements chaud A bon entendeur,0.5
2026-01-06,Petit conseil si vous voyagez plusieurs mlanger vos affaires dans vos bagages en soute comme a si une valise se perd tout le monde a des affaires de rechange aussi au contrle scurit pour viter la perte de temps ne pas mettre trop de bijoux ceinture ou des chaussures trop dur enlever et remettre type bottes,0.5
2026-02-04,Aiguilles tricoter double pointe 18cm si en mtal les glisser dans une trousse avec les bics pour crire mais prfrer celles en bois Les petits ciseaux a ne passe pas on vous les confisque,0.5
2025-06-23,Bonjour Je suis un grand voyageur jai plus de 500 vols mon actif Je trouve marrant de voir cette petite vido et je prcise que pour voyager il ne faut que trois fondamentaux son argent son ticket et ses papiers Avec les annes jai ajout le tlphone Il vous manque un seul de ces lments et le voyage est termin On rentre la maison,0.62
2025-07-08,Peser bien votre valise avant de partir car Corsair m a fait payer 100 euro pour 2 kg de trop Orly,0.5
2025-06-15,Bonjour je vais Buffalo Depuis Francfort vendredi j ai une escale de quasiment 3 heures JFK j espere que ca ira et que le 1er vol aura pas de retard car mon 2 eme vol New york buffalo est le dernier de la journee Au retour la meme escale sera de 8 heures donc enorme,0.35
2025-04-17,Je voulais savoir estce que laroport de Malaga est trs grand Car je fais bordeaux Malaga et je dois reprendre un vol de Malaga,0.7
2025-09-13,Premier vol de ma vie vendredi Strasbourg porto un peu peur merci pour les conseils,0.5
2025-07-11,galement ne pas se mettre derrire les ailes c beaucoup plus bruyant,0.5
2026-02-20,Thanks for your advice Your video reminded me of my first flight from YUL Montreal to SFO San Francisco via Toronto with Air Canada Due to the limited time between my connecting flights my luggage stayed in Toronto I arrived in San Francisco with only my carryon and had to spend 600 on clothes I received my delayed luggage later that evening Your advices are crucialfor any time any traveller,0.52
2025-08-13,Pour les bagages mainscabine Cest du vcu jamais eu de soucis avec Air France que a soit la taille ou le nombre mais un jour par soucis dconomie je passe par une autre compagnie et la cest le drame Heuresement jai reussi a tt mettre en forcant dans la valise cabine Air France est top pour a il sont pas chiant,0.7
2025-06-21,Salut je pars bientt pour la premire fois pour le sac dos tu aurai un model histoire de mettre genre des sous vtements propre lingettes et une petite plaide quelle type de sac dos a tu un model a me communiquer,0.5
2025-07-08,Mme sil faut payer pour pouvoir choisir son sige je le recommande de faire car a rduit le risque dtre mis en standby si le vol est overbook Connaissance de cause,0.5
2025-05-29,Et si vous tes seule avec 1 2 3 enfants ou plus ne voyager pas avec 4 ou plus bagages cabines blinds max que vous narrivez pas grer au dtriment des autres passagers,0.5
2026-01-15,Noubliez pas de prendre avec vous vos mdicaments traitement et avec lordonnance,0.5
2025-12-14,Tu as oubli bien vrifier ses dates de validits de papiers didentits carte etou passeport jai connu plusieurs personnes refouls a laroport cause de a Ca parait vident mais cest vraiment important surtout lorsquon part plusieurs,0.66
2025-12-15,Bonjour Pour les toilettes en tte de lavion business je suis moins daccord avec vous Je traverse latlantique et je me positionne en place A1 sur les 777 javoue que cest trs bien dtre 3m des toilettes peu de gens Ne pas oublier de garder ses mdicaments vitaux sur soit ou bagages mains car la perte des bagages peut tre un soucis Merci vous toujours trs intressant,0.5
2025-08-04,Je voulais savoir si la rgle des 100 ml sapplique au bagage an soute Parce que je dois prendre bientt lavion et que ma trousse de toilette je la laisse dans mon bagage soute,0.5
2026-02-11,pour avoir pris lavion en juillet en norvge recommandation gardez vos batteries au llithium dans le bagage main cest interdit en soute pour la scurit o bons voyages nanmois une chose mavait fait sourire il y 10 ans en partant au canada scurit pass et ojarrivais dans le tax free et l tout ce qui tait interdit dr vrndaiy liquides mais aussi lames de rasoir et l plus de contrles rien na chang je partais de xharles de gaule et cette fois de zaventem toujours pareil scurit pass et cest tujours la mme chose arriv en norvge je nai jamais eu de contrle didentit aucune perte de temps parcontre au canada sorti de lavion edt nous devons aller dans une saklr commune o l tout est scrupuleusement vrifi lieu de shour et si une chose banle se pase on est recall devant moi un jeune canadien mineuet a passait pas ols sont chaleureux mais plus strict quen europe attention aussu au rglementations de chaque pys en australie hors de question dentrer avec de la nouriture je nt suis jamais all mais cest prvu bien se renseigner ce niveau l vaccins etc toujours bien se prprer avant de partir les rgles changent rgulirement comme passeport non obligayoire le devenant lespace schengen une pice didentit suffit en tchQUIE EN 1994 PASSEPORT OBLIGATOIRE en 1995 tunisie pas de passeport rt en 1996 en turquie idem voici quelques exemples de mes voyages javoue avoir t surpris cette an ne rservation en agence et arriv sans billets davion une premire pour moi puis lors de lenregistrement du bagages poce didentit et je recevais mp billet les choses changznt se renseigner pour ne pas avoir de surprises jharcelais mon agence et rien pas de billets parti dans linconnu mais bon pas le choix juste entendu vous verrez cest ok en norvge au retour des bornes avec qr code poursavoir o enregistrer le bagage notre guide avait prvenu si un truc ne va pas attrapez un bonhomme enjaune et il vous aider cest ce que jai fait je mapppelle aussi stphane et jessaie galement daider pour ne pas avoir de surprises ne comptez pas trop sur la chance et le hasard prvoyant au maximum et on voyage tranquillement o,0.64
2025-08-03,Il faut toujours prvoir que le bagage en soute ne sera pas larrive surtout sil y a eu des escales Pour des voyages de type trekking Himalaya Kilimandjaro etc il est essentiel de partir dj quip pour lactivit en question chaussures de randonne vtements etc Cest un peu lourd certes mais jai vu des gens se retrouver pendant les trois premiers jours dune rando montagne en basket jeans et vtements lgers non adapts De plus laroport darrive peut tre trs loin de la destination finale et les bagages mettront du temps vous parvenir Dans certains cas vous ne les retrouverez qu la fin du voyage Au retour par contre ce nest pas important puisque lon rentre chez soi Pour les gens trs grands il est important de pouvoir rserver son rang et sige avant Javais un collgue de 2m qui sest retrouv coinc pendant 8 heures et qui trois jours aprs larrive a fait une phlbite,0.66
2025-12-09,Merci pour cette vido mais quelques prcisions pour la bouteille deau il suffit de la vider et de ne pas la jeter avant le contrle et de la remplir aux fontaines deau ou aux toilettes aprs le contrle et cest gratuit Et pour le kit de survie je valide mais il faut aussi dire quil faut de suite aller au guichet des valises de la compagnie si celleci est perdue elle est dans lobligation de justement vous indemniser de suite pour lachat de produits de premires ncessits,0.5
2025-12-19,Aroport de Lyon pour y tre pass plusieurs fois il y a frquemment du retard et pas forcment avec les compagnies lowcost,0.14
2025-06-03,Perso je passe la scurit avec la gourde vide et je file la remplir aux toilettes aprs,0.5
2025-02-01,Bonjour Stphane je viens dorganiser un road trip ouest amricain en suivant tes conseils Seraitil envisageable de tenvoyer par mail mon Excel pour avis Merci pour ton contenu trs qualitatif,0.5
2025-12-07,Alo Yoga39s Grand Opening Was So Fun aloyoga alo workoutclothes grandopening,0.66
2025-02-12,Le nouveau tapis de yoga Ultra,0.5
2025-12-23,Ce nouveau tapis est lessentiel absolu de ladepte de yoga Le revtement en caoutchouc antidrapant intgre la technologie,0.5
2025-07-28,C39est La Ralit En Algrie kabylegirl kabylie kabyle tiziouzou kabyledefrance,0.5
2025-03-20,Cest La Ralit En Algrie Les Kabyles Les Stars Kabyles Les Stars Algriens La Kabylie La Beaut Kabyle Danse,0.5
2025-12-02,a s est connu ma belle ya plus de mauvais que de bons mais grce dieu tout a une fin dans cette vie qui ne vaut mme pas les ailes d un insecte,0.5
2025-12-03,Koun natzawaj bike antoub ou na3tik 3omri matrharab mara min houna,0.5
2025-03-02,Ecoutes ma soeur C edt partout comme ca Pas uniquement en Algerie La soultion eloignes toi de ce milieu Rzpproches toi plus de la nautre et de Dieu,0.5
2025-04-17,MERCI c est la VRIT C EST L TRE HUMAIN A EXISTE PARTOUT MEME DANS CERTAINES FAMILLES,0.5
2026-01-17,De constantine une brave jeune femme purement algrienne merci bon entendeur salut,0.82
2025-06-05,C est la triste ralit La fin du monde est proche,0.5
2025-10-06,Il y a certes une part de vrit mais il ne faut pas mettre tout le monde dans le meme cas,0.5
2025-07-31,voila pourquoi ishowspeed a dtruit sa carrire sans faire exprs finis les photos avec Cristiano,0.5
2025-12-13,voila pourquoi ishowspeed a dtruit sa carrire sans faire exprs finis les photos avec Cristiano football ishowspeed shorts,0.5
2025-05-27,Toi to n grand pilon aret gat ishowpeed so repitation kkliki to ziss koz kk pliss to met lager partou don lemone pilon merci,0.7
2025-09-06,Les parties gnitaux cette voix ne dit jamais la vrit,0.5
2025-08-12,Quand beaucoup de commentaires disent de fuir et de ne pas croire cette voix ah vraiment c est grave,0.5
2025-09-19,May you never proper For tryinh to bring this black man down,0.46
2025-11-06,Cest pour a quil est toujours dactualit en 2026 pure vous tes des mythomanes jaloux cest honteux,0.59
2025-11-07,C est pour ce geste que les jeunes Algriens l ent frapper avec des bouteul,0.5
2025-06-22,Depuis que je connais cette voix il na jamais dire la vrit,0.5
2025-12-24,Il est tellement nul il est pas respectueux et en plus ce que il a fait en Algrie il est nul ce mec,0.5
2026-02-16,Tu es un menteur il est veu en CTEDIVOIRE trs rcemment et il a fait 20 pays africains tu es un menteur,0.5
2025-03-06,C est pas vrai il tait au senegal il n y a pas deux semaines cette voix ne fait que mentir,0.5
2025-10-12,a va pousser a carrire plutt Cest fait exprs Je sais dj que je ne mabonnerais pas Une chane de plus qui dit nimporte quoi pour vu que a fasse des vues,0.5
2025-04-07,Qui comme moi quoi que cest faux parce que il a coup le live parce que il a eu trop peur ou parce que il avait peur quoi,0.55
2025-08-11,Nimporte quoi Dj le mec ne fait pas de gaming Il sest relch En montrant ses parties gnitaux Commence par te payer une IA qui sache parler franais,0.5
2025-05-01,4 looks parfaits Chalet Chic avec Sportium,0.5
2025-04-20,Sportium est une nouvelle bannire de vtements et dquipement de sport StHubert et Qubec Chaussures et vtements se,0.5
2026-02-18,look 2 et 3 super moi aussi je porte des chapeaux,0.63
2025-06-09,Jadore le look 3 cest certain que je vais aller faire un tour,0.59
